"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Obligatoriska fält"
"A new password was sent","Ett nytt lösenord har skickats"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","Kontoöversikt"
"Account Information","Kontoinformation"
"Account Sharing Options","Alternativ för delning av konto"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Account information was successfully saved","Informationen för kontot har sparats"
"Action","Åtgärd"
"Add New Address","Lägg till ny adress"
"Add New Customer","Lägg till ny kund"
"Add New Customer Group","Lägg till ny kundgrupp"
"Added From","Tillagt Från"
"Additional Address Entries","Ytterligare adressposter"
"Address","Adress"
"Address Book","Adressuppgifter"
"Address Books","Address Books"
"Address Information","Adressinformation"
"Address Templates","Address Templates"
"Addresses","Adresser"
"Admin","Administratör"
"All","Alla"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"Always optional","Always optional"
"Always optional.","Always optional."
"Amount","Belopp"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Godkänd"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort denna artikel?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du inte vill lägga till denna adress?"
"Are you sure you want to delete this address?","Är du säker på att du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Array of Entity collections is expected","En vektor bestående av entitetssamlingar förväntas"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Assign a customer group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Tillbaka till inloggningen"
"Bad request.","Bad request."
